Database,Publisher,User_Activity,2013,2014,2015,2016,2017
MAS Ultra - School Edition,EBSCO,Result Clicks,17,25,38,44,6
MAS Ultra - School Edition,EBSCO,Searches-federated and automated,39,83,5326,6737,1240
MasterFILE Premier,EBSCO,Record Views,56,118,487,401,38
MasterFILE Premier,EBSCO,Regular Searches,1393,2080,2641,2267,400
MasterFILE Premier,EBSCO,Result Clicks,139,263,974,912,78
MasterFILE Premier,EBSCO,Searches-federated and automated,39,83,5358,6786,1242
Media Archive,EBSCO,Record Views,NA,0,0,NA,NA
Media Archive,EBSCO,Regular Searches,NA,0,0,NA,NA
Media Archive,EBSCO,Result Clicks,NA,0,0,NA,NA
Media Archive,EBSCO,Searches-federated and automated,NA,80,69,NA,NA
MEDLINE,EBSCO,Record Views,2820,6801,5686,1287,580
MEDLINE,EBSCO,Regular Searches,6849,17341,12562,4560,1214
MEDLINE,EBSCO,Result Clicks,5970,13350,10194,2489,1104
MEDLINE,EBSCO,Searches-federated and automated,39,83,23460,46659,14481
MEDLINE Complete,EBSCO,Record Views,NA,NA,NA,2512,1768
MEDLINE Complete,EBSCO,Regular Searches,NA,NA,NA,4646,3712
MEDLINE Complete,EBSCO,Result Clicks,NA,NA,NA,4276,3276
MEDLINE Complete,EBSCO,Searches-federated and automated,NA,NA,NA,0,0
MEDLINE with Full Text,EBSCO,Record Views,NA,NA,2312,4014,0
MEDLINE with Full Text,EBSCO,Regular Searches,NA,NA,3951,6967,0
MEDLINE with Full Text,EBSCO,Result Clicks,NA,NA,4386,7561,0
MEDLINE with Full Text,EBSCO,Searches-federated and automated,NA,NA,23886,34110,0
Mergent Annual Reports Collection,EBSCO,Record Views,NA,0,0,1,0
Mergent Annual Reports Collection,EBSCO,Regular Searches,NA,0,0,0,0
Mergent Annual Reports Collection,EBSCO,Result Clicks,NA,0,0,3,0
Mergent Annual Reports Collection,EBSCO,Searches-federated and automated,NA,80,5221,6626,169
Mergent Online,EBSCO,Record Views,NA,NA,NA,0,0
Mergent Online,EBSCO,Regular Searches,NA,NA,NA,0,0
Mergent Online,EBSCO,Result Clicks,NA,NA,NA,0,0
Mergent Online,EBSCO,Searches-federated and automated,NA,NA,NA,0,1064
Military & Government Collection,EBSCO,Record Views,21,23,12,9,0
Military & Government Collection,EBSCO,Regular Searches,1384,1992,2680,2173,375
Military & Government Collection,EBSCO,Result Clicks,48,36,28,18,0
Military & Government Collection,EBSCO,Searches-federated and automated,39,83,5333,6751,1239
Minority Health Archive,EBSCO,Record Views,NA,0,0,NA,NA
Minority Health Archive,EBSCO,Regular Searches,NA,0,0,NA,NA
Minority Health Archive,EBSCO,Result Clicks,NA,0,0,NA,NA
Minority Health Archive,EBSCO,Searches-federated and automated,NA,80,69,NA,NA
Mintel Oxygen Reports,EBSCO,Record Views,NA,0,0,NA,NA
Mintel Oxygen Reports,EBSCO,Regular Searches,NA,0,0,NA,NA
Mintel Oxygen Reports,EBSCO,Result Clicks,NA,0,0,NA,NA
Mintel Oxygen Reports,EBSCO,Searches-federated and automated,NA,80,69,NA,NA
MLA Directory of Periodicals,EBSCO,Record Views,0,1,1,1,0
MLA Directory of Periodicals,EBSCO,Regular Searches,1330,1976,2644,2186,401
MLA Directory of Periodicals,EBSCO,Result Clicks,0,2,2,2,0
MLA Directory of Periodicals,EBSCO,Searches-federated and automated,39,83,28353,52864,15585
MLA International Bibliography,EBSCO,Record Views,344,460,576,576,103
MLA International Bibliography,EBSCO,Regular Searches,2141,2877,3342,2481,479
MLA International Bibliography,EBSCO,Result Clicks,532,709,970,990,189
MLA International Bibliography,EBSCO,Searches-federated and automated,39,83,28474,53128,15661
Music Online: Opera in Video,Alexander Street Press,Record Views,NA,NA,NA,15,NA
Music Online: Opera in Video,Alexander Street Press,Regular Searches,NA,NA,NA,146,NA
Music Online: Opera in Video,Alexander Street Press,Result Clicks,NA,NA,NA,5,NA
Music Online: Opera in Video,Alexander Street Press,Searches-federated and automated,NA,NA,NA,0,NA
Music Online: The Garland Encyclopedia of World Music,Alexander Street Press,Record Views,NA,NA,NA,3,NA
Music Online: The Garland Encyclopedia of World Music,Alexander Street Press,Regular Searches,NA,NA,NA,20,NA
Music Online: The Garland Encyclopedia of World Music,Alexander Street Press,Result Clicks,NA,NA,NA,1,NA
Music Online: The Garland Encyclopedia of World Music,Alexander Street Press,Searches-federated and automated,NA,NA,NA,0,NA
Naxos Music Library,EBSCO,Record Views,NA,0,13,22,0
Naxos Music Library,EBSCO,Regular Searches,NA,0,0,0,0
Naxos Music Library,EBSCO,Result Clicks,NA,1,16,41,0
Naxos Music Library,EBSCO,Searches-federated and automated,NA,80,6206,8557,1788
Naxos Music Library Jazz,EBSCO,Record Views,NA,0,0,NA,NA
Naxos Music Library Jazz,EBSCO,Regular Searches,NA,0,0,NA,NA
Naxos Music Library Jazz,EBSCO,Result Clicks,NA,0,0,NA,NA
Naxos Music Library Jazz,EBSCO,Searches-federated and automated,NA,80,69,NA,NA
Naxos Spoken Word Library,EBSCO,Record Views,NA,0,0,NA,NA
Naxos Spoken Word Library,EBSCO,Regular Searches,NA,0,0,NA,NA
Naxos Spoken Word Library,EBSCO,Result Clicks,NA,0,0,NA,NA
Naxos Spoken Word Library,EBSCO,Searches-federated and automated,NA,80,69,NA,NA
Naxos Video Library,EBSCO,Record Views,NA,0,0,NA,NA
Naxos Video Library,EBSCO,Regular Searches,NA,0,0,NA,NA
Naxos Video Library,EBSCO,Result Clicks,NA,0,0,NA,NA
Naxos Video Library,EBSCO,Searches-federated and automated,NA,80,69,NA,NA
NBC Learn Higher Ed,EBSCO,Record Views,NA,0,0,NA,NA
NBC Learn Higher Ed,EBSCO,Regular Searches,NA,0,0,NA,NA
NBC Learn Higher Ed,EBSCO,Result Clicks,NA,0,0,NA,NA
NBC Learn Higher Ed,EBSCO,Searches-federated and automated,NA,80,71,NA,NA
NBC Learn K-12,EBSCO,Record Views,NA,0,1,NA,NA
NBC Learn K-12,EBSCO,Regular Searches,NA,0,0,NA,NA
NBC Learn K-12,EBSCO,Result Clicks,NA,0,2,NA,NA
NBC Learn K-12,EBSCO,Searches-federated and automated,NA,80,71,NA,NA
New Testament Abstracts,EBSCO,Record Views,114,350,150,210,40
New Testament Abstracts,EBSCO,Regular Searches,1187,2406,2829,2397,414
New Testament Abstracts,EBSCO,Result Clicks,187,548,246,382,71
New Testament Abstracts,EBSCO,Searches-federated and automated,0,81,23122,46222,14333
Newnonmun – 뉴논문,EBSCO,Record Views,NA,0,0,NA,NA
Newnonmun – 뉴논문,EBSCO,Regular Searches,NA,0,0,NA,NA
Newnonmun – 뉴논문,EBSCO,Result Clicks,NA,0,0,NA,NA
Newnonmun – 뉴논문,EBSCO,Searches-federated and automated,NA,80,69,NA,NA
NewsBank,EBSCO,Record Views,NA,0,0,NA,NA
NewsBank,EBSCO,Regular Searches,NA,0,0,NA,NA
NewsBank,EBSCO,Result Clicks,NA,0,0,NA,NA
NewsBank,EBSCO,Searches-federated and automated,NA,80,69,NA,NA
NewsBank - Archives,EBSCO,Record Views,NA,0,0,NA,NA
NewsBank - Archives,EBSCO,Regular Searches,NA,0,0,NA,NA
NewsBank - Archives,EBSCO,Result Clicks,NA,0,0,NA,NA
NewsBank - Archives,EBSCO,Searches-federated and automated,NA,80,69,NA,NA
Newspaper Source,EBSCO,Record Views,17,17,68,61,5
Newspaper Source,EBSCO,Regular Searches,1533,2012,2877,2241,388
Newspaper Source,EBSCO,Result Clicks,43,40,161,143,9
Newspaper Source,EBSCO,Searches-federated and automated,39,83,5249,6678,1236
Newswires,EBSCO,Record Views,NA,0,4,8,0
Newswires,EBSCO,Regular Searches,NA,0,0,0,0
Newswires,EBSCO,Result Clicks,NA,0,4,10,0
Newswires,EBSCO,Searches-federated and automated,NA,80,5220,6621,1233
NHS Economic Evaluation Database,EBSCO,Record Views,0,0,0,0,0
NHS Economic Evaluation Database,EBSCO,Regular Searches,633,1261,2601,2117,381
NHS Economic Evaluation Database,EBSCO,Result Clicks,1,0,1,0,0
NHS Economic Evaluation Database,EBSCO,Searches-federated and automated,39,80,69,4,0
Nursing Education in Video,Alexander Street Press,Record Views,0,350,304,449,NA
Nursing Education in Video,Alexander Street Press,Regular Searches,0,226,88,78,NA
Nursing Education in Video,Alexander Street Press,Result Clicks,0,132,42,21,NA
Nursing Education in Video,Alexander Street Press,Searches-federated and automated,0,0,0,0,NA
"Nursing Education in Video, 2013",Alexander Street Press,Record Views,0,33,27,44,NA
"Nursing Education in Video, 2013",Alexander Street Press,Regular Searches,0,226,88,78,NA
"Nursing Education in Video, 2013",Alexander Street Press,Result Clicks,0,13,9,0,NA
"Nursing Education in Video, 2013",Alexander Street Press,Searches-federated and automated,0,0,0,0,NA
Nursing Reference Center,EBSCO,Record Views,164,214,325,948,162
Nursing Reference Center,EBSCO,Regular Searches,3449,11104,8310,8909,3456
Nursing Reference Center,EBSCO,Result Clicks,3644,11163,8633,9862,3853
Nursing Reference Center,EBSCO,Searches-federated and automated,0,80,25567,53064,15636
OAIster,EBSCO,Record Views,NA,0,17,5,0
OAIster,EBSCO,Regular Searches,NA,0,0,0,0
OAIster,EBSCO,Result Clicks,NA,0,42,18,0
OAIster,EBSCO,Searches-federated and automated,NA,80,5220,2470,0
OAPEN Library,EBSCO,Record Views,NA,0,0,NA,NA
OAPEN Library,EBSCO,Regular Searches,NA,0,0,NA,NA
OAPEN Library,EBSCO,Result Clicks,NA,0,0,NA,NA
OAPEN Library,EBSCO,Searches-federated and automated,NA,80,69,NA,NA
Old Testament Abstracts,EBSCO,Record Views,317,297,229,267,50
Old Testament Abstracts,EBSCO,Regular Searches,1432,2460,2959,2415,430
Old Testament Abstracts,EBSCO,Result Clicks,471,520,359,442,95
Old Testament Abstracts,EBSCO,Searches-federated and automated,0,81,28317,52925,15596
Opera in Video,Alexander Street Press,Record Views,0,23,19,10,NA
Opera in Video,Alexander Street Press,Regular Searches,0,165,183,124,NA
Opera in Video,Alexander Street Press,Result Clicks,0,13,11,7,NA
Opera in Video,Alexander Street Press,Searches-federated and automated,0,0,0,0,NA
Opposing Viewpoints in Context,EBSCO,Record Views,NA,2,1,NA,NA
Opposing Viewpoints in Context,EBSCO,Regular Searches,NA,0,0,NA,NA
Opposing Viewpoints in Context,EBSCO,Result Clicks,NA,3,4,NA,NA
Opposing Viewpoints in Context,EBSCO,Searches-federated and automated,NA,81,72,NA,NA
Ovid MEDLINE(R),U.S. National Library of Medicine,Record Views,NA,21,12,42,NA
Ovid MEDLINE(R),U.S. National Library of Medicine,Regular Searches,NA,24,13,9,NA
Ovid MEDLINE(R),U.S. National Library of Medicine,Result Clicks,NA,45,14,43,NA
Ovid MEDLINE(R),U.S. National Library of Medicine,Searches-federated and automated,NA,0,0,0,NA
Oxford's Who's Who & Who Was Who,EBSCO,Record Views,NA,0,0,NA,NA
Oxford's Who's Who & Who Was Who,EBSCO,Regular Searches,NA,0,0,NA,NA
Oxford's Who's Who & Who Was Who,EBSCO,Result Clicks,NA,1,0,NA,NA
Oxford's Who's Who & Who Was Who,EBSCO,Searches-federated and automated,NA,80,69,NA,NA
Oxford African American Studies Center,EBSCO,Record Views,NA,0,0,NA,NA
Oxford African American Studies Center,EBSCO,Regular Searches,NA,0,0,NA,NA
Oxford African American Studies Center,EBSCO,Result Clicks,NA,0,0,NA,NA
Oxford African American Studies Center,EBSCO,Searches-federated and automated,NA,80,69,NA,NA
Oxford Biblical Studies Online,EBSCO,Record Views,NA,0,8,0,0
Oxford Biblical Studies Online,EBSCO,Regular Searches,NA,0,0,0,0
Oxford Biblical Studies Online,EBSCO,Result Clicks,NA,1,21,3,0
Oxford Biblical Studies Online,EBSCO,Searches-federated and automated,NA,80,3435,6581,1228
Oxford Bibliographies,EBSCO,Record Views,NA,0,0,NA,NA
Oxford Bibliographies,EBSCO,Regular Searches,NA,0,0,NA,NA
Oxford Bibliographies,EBSCO,Result Clicks,NA,0,0,NA,NA
Oxford Bibliographies,EBSCO,Searches-federated and automated,NA,80,69,NA,NA
Oxford Dictionary of National Biography,EBSCO,Record Views,NA,0,0,NA,NA
Oxford Dictionary of National Biography,EBSCO,Regular Searches,NA,0,0,NA,NA
Oxford Dictionary of National Biography,EBSCO,Result Clicks,NA,0,0,NA,NA
Oxford Dictionary of National Biography,EBSCO,Searches-federated and automated,NA,80,69,NA,NA
Oxford Handbooks Online,EBSCO,Record Views,NA,0,0,NA,NA
Oxford Handbooks Online,EBSCO,Regular Searches,NA,0,0,NA,NA
Oxford Handbooks Online,EBSCO,Result Clicks,NA,0,0,NA,NA
Oxford Handbooks Online,EBSCO,Searches-federated and automated,NA,80,71,NA,NA
Oxford Islamic Studies Online,EBSCO,Record Views,NA,0,0,NA,NA
Oxford Islamic Studies Online,EBSCO,Regular Searches,NA,0,0,NA,NA
Oxford Islamic Studies Online,EBSCO,Result Clicks,NA,0,0,NA,NA
Oxford Islamic Studies Online,EBSCO,Searches-federated and automated,NA,80,69,NA,NA
Oxford Medicine Online,EBSCO,Record Views,NA,0,0,NA,NA
Oxford Medicine Online,EBSCO,Regular Searches,NA,0,0,NA,NA
Oxford Medicine Online,EBSCO,Result Clicks,NA,0,0,NA,NA
Oxford Medicine Online,EBSCO,Searches-federated and automated,NA,80,69,NA,NA
Oxford Reference,EBSCO,Record Views,NA,0,0,NA,NA
Oxford Reference,EBSCO,Regular Searches,NA,0,0,NA,NA
Oxford Reference,EBSCO,Result Clicks,NA,0,0,NA,NA
Oxford Reference,EBSCO,Searches-federated and automated,NA,80,71,NA,NA
Oxford Scholarly Editions Online,EBSCO,Record Views,NA,0,0,NA,NA
Oxford Scholarly Editions Online,EBSCO,Regular Searches,NA,0,0,NA,NA
Oxford Scholarly Editions Online,EBSCO,Result Clicks,NA,0,0,NA,NA
Oxford Scholarly Editions Online,EBSCO,Searches-federated and automated,NA,80,69,NA,NA
Oxford Scholarship Online,EBSCO,Record Views,NA,0,1,NA,NA
Oxford Scholarship Online,EBSCO,Regular Searches,NA,0,0,NA,NA
Oxford Scholarship Online,EBSCO,Result Clicks,NA,0,2,NA,NA
Oxford Scholarship Online,EBSCO,Searches-federated and automated,NA,80,72,NA,NA
Persée,EBSCO,Record Views,NA,0,0,NA,NA
Persée,EBSCO,Regular Searches,NA,0,0,NA,NA
Persée,EBSCO,Result Clicks,NA,0,0,NA,NA
Persée,EBSCO,Searches-federated and automated,NA,80,69,NA,NA
Philosopher's Index,EBSCO,Record Views,0,66,23,NA,NA
Philosopher's Index,EBSCO,Regular Searches,0,1970,1554,NA,NA
Philosopher's Index,EBSCO,Result Clicks,0,111,52,NA,NA
Philosopher's Index,EBSCO,Searches-federated and automated,0,83,1130,NA,NA
Philosophers Index with Full Text,EBSCO,Record Views,NA,0,206,172,0
Philosophers Index with Full Text,EBSCO,Regular Searches,NA,0,1044,1423,0
Philosophers Index with Full Text,EBSCO,Result Clicks,NA,0,396,370,0
Philosophers Index with Full Text,EBSCO,Searches-federated and automated,NA,0,23826,26427,0
PhilSci Archive,EBSCO,Record Views,NA,0,0,NA,NA
PhilSci Archive,EBSCO,Regular Searches,NA,0,0,NA,NA
PhilSci Archive,EBSCO,Result Clicks,NA,0,0,NA,NA
PhilSci Archive,EBSCO,Searches-federated and automated,NA,80,69,NA,NA
Primary Search,EBSCO,Record Views,0,0,0,3,0
Primary Search,EBSCO,Regular Searches,1532,2268,2893,2210,406
Primary Search,EBSCO,Result Clicks,0,0,1,7,0
Primary Search,EBSCO,Searches-federated and automated,39,83,5266,6681,1238
Professional Development Collection,EBSCO,Record Views,267,91,350,887,157
Professional Development Collection,EBSCO,Regular Searches,1559,2424,3303,2344,409
Professional Development Collection,EBSCO,Result Clicks,495,197,726,1646,286
Professional Development Collection,EBSCO,Searches-federated and automated,39,83,28752,53471,15765
Project MUSE,EBSCO,Record Views,NA,0,244,207,61
Project MUSE,EBSCO,Regular Searches,NA,0,0,0,0
Project MUSE,EBSCO,Result Clicks,NA,0,462,415,112
Project MUSE,EBSCO,Searches-federated and automated,NA,80,28524,52564,15427
Project MUSE,Johns Hopkins University Press,Record Views,NA,514,0,0,NA
Project MUSE,Johns Hopkins University Press,Regular Searches,NA,6849,1615,1357,NA
Project MUSE,Johns Hopkins University Press,Result Clicks,NA,647,656,607,NA
Project MUSE,Johns Hopkins University Press,Searches-federated and automated,NA,0,0,0,NA
PsycARTICLES,EBSCO,Record Views,90,319,595,1172,228
PsycARTICLES,EBSCO,Regular Searches,1653,3846,4340,2871,552
PsycARTICLES,EBSCO,Result Clicks,268,814,1266,2381,539
PsycARTICLES,EBSCO,Searches-federated and automated,40,83,23468,46739,14523
PsycBOOKS,EBSCO,Record Views,NA,0,0,NA,NA
PsycBOOKS,EBSCO,Regular Searches,NA,0,0,NA,NA
PsycBOOKS,EBSCO,Result Clicks,NA,0,0,NA,NA
PsycBOOKS,EBSCO,Searches-federated and automated,NA,80,69,NA,NA
PsycCRITIQUES,EBSCO,Record Views,NA,0,0,NA,NA
PsycCRITIQUES,EBSCO,Regular Searches,NA,0,0,NA,NA
PsycCRITIQUES,EBSCO,Result Clicks,NA,0,0,NA,NA
PsycCRITIQUES,EBSCO,Searches-federated and automated,NA,80,71,NA,NA
PsycheVisual,EBSCO,Record Views,NA,0,0,NA,NA
PsycheVisual,EBSCO,Regular Searches,NA,0,0,NA,NA
PsycheVisual,EBSCO,Result Clicks,NA,0,0,NA,NA
PsycheVisual,EBSCO,Searches-federated and automated,NA,80,69,NA,NA
PsycINFO,EBSCO,Record Views,3947,9069,8644,10332,2216
PsycINFO,EBSCO,Regular Searches,7100,14034,13745,14618,2760
PsycINFO,EBSCO,Result Clicks,7128,15608,15e3,17339,3864
PsycINFO,EBSCO,Searches-federated and automated,39,83,23491,46729,14500
Public Information Online,EBSCO,Record Views,NA,0,0,NA,NA
Public Information Online,EBSCO,Regular Searches,NA,0,0,NA,NA
Public Information Online,EBSCO,Result Clicks,NA,0,0,NA,NA
Public Information Online,EBSCO,Searches-federated and automated,NA,80,69,NA,NA
Publications New Zealand Metadata,EBSCO,Record Views,NA,0,0,NA,NA
Publications New Zealand Metadata,EBSCO,Regular Searches,NA,0,0,NA,NA
Publications New Zealand Metadata,EBSCO,Result Clicks,NA,0,0,NA,NA
Publications New Zealand Metadata,EBSCO,Searches-federated and automated,NA,80,71,NA,NA
Publisher Provided Full Text Searching File,EBSCO,Record Views,NA,0,848,2186,644
Publisher Provided Full Text Searching File,EBSCO,Regular Searches,NA,0,0,0,0
Publisher Provided Full Text Searching File,EBSCO,Result Clicks,NA,0,1559,4017,1227
Publisher Provided Full Text Searching File,EBSCO,Searches-federated and automated,NA,80,29064,53974,15894
R2 Digital Library,EBSCO,Record Views,NA,0,0,NA,NA
R2 Digital Library,EBSCO,Regular Searches,NA,0,0,NA,NA
R2 Digital Library,EBSCO,Result Clicks,NA,0,0,NA,NA
R2 Digital Library,EBSCO,Searches-federated and automated,NA,80,69,NA,NA
RACO,EBSCO,Record Views,NA,0,0,NA,NA
RACO,EBSCO,Regular Searches,NA,0,0,NA,NA
RACO,EBSCO,Result Clicks,NA,0,0,NA,NA
RACO,EBSCO,Searches-federated and automated,NA,80,71,NA,NA
RAMBI,EBSCO,Record Views,NA,0,0,NA,NA
RAMBI,EBSCO,Regular Searches,NA,0,0,NA,NA
RAMBI,EBSCO,Result Clicks,NA,0,0,NA,NA
RAMBI,EBSCO,Searches-federated and automated,NA,80,69,NA,NA
RCAAP,EBSCO,Record Views,NA,0,0,NA,NA
RCAAP,EBSCO,Regular Searches,NA,0,0,NA,NA
RCAAP,EBSCO,Result Clicks,NA,0,0,NA,NA
RCAAP,EBSCO,Searches-federated and automated,NA,80,71,NA,NA
ReadEx,EBSCO,Record Views,NA,0,NA,NA,NA
ReadEx,EBSCO,Regular Searches,NA,0,NA,NA,NA
ReadEx,EBSCO,Result Clicks,NA,0,NA,NA,NA
ReadEx,EBSCO,Searches-federated and automated,NA,3,NA,NA,NA
RECERCAT,EBSCO,Record Views,NA,0,0,NA,NA
RECERCAT,EBSCO,Regular Searches,NA,0,0,NA,NA
RECERCAT,EBSCO,Result Clicks,NA,0,0,NA,NA
RECERCAT,EBSCO,Searches-federated and automated,NA,80,71,NA,NA
Regional Business News,EBSCO,Record Views,67,59,254,521,227
Regional Business News,EBSCO,Regular Searches,1445,2020,2758,2688,515
Regional Business News,EBSCO,Result Clicks,134,118,374,851,390
Regional Business News,EBSCO,Searches-federated and automated,39,83,28642,53270,15703
Research Starters,EBSCO,Record Views,NA,0,9,19,4
Research Starters,EBSCO,Regular Searches,NA,0,0,0,0
Research Starters,EBSCO,Result Clicks,NA,6,68,167,22
Research Starters,EBSCO,Searches-federated and automated,NA,52,5251,6628,1247
RILM Abstracts of Music Literature (1967 to Present only),EBSCO,Record Views,365,184,138,273,10
RILM Abstracts of Music Literature (1967 to Present only),EBSCO,Regular Searches,1824,2261,2745,2410,398
RILM Abstracts of Music Literature (1967 to Present only),EBSCO,Result Clicks,561,307,221,430,16
RILM Abstracts of Music Literature (1967 to Present only),EBSCO,Searches-federated and automated,39,83,28435,53061,15632
Rivisteweb,EBSCO,Record Views,NA,0,0,NA,NA
Rivisteweb,EBSCO,Regular Searches,NA,0,0,NA,NA
Rivisteweb,EBSCO,Result Clicks,NA,0,0,NA,NA
Rivisteweb,EBSCO,Searches-federated and automated,NA,80,69,NA,NA
Rock's Backpages,EBSCO,Record Views,NA,0,0,NA,NA
Rock's Backpages,EBSCO,Regular Searches,NA,0,0,NA,NA
Rock's Backpages,EBSCO,Result Clicks,NA,0,0,NA,NA
Rock's Backpages,EBSCO,Searches-federated and automated,NA,80,69,NA,NA
Roubini Global Economics,EBSCO,Record Views,NA,0,0,NA,NA
Roubini Global Economics,EBSCO,Regular Searches,NA,0,0,NA,NA
Roubini Global Economics,EBSCO,Result Clicks,NA,0,0,NA,NA
Roubini Global Economics,EBSCO,Searches-federated and automated,NA,80,69,NA,NA
SA ePublications Service,EBSCO,Record Views,NA,0,0,NA,NA
SA ePublications Service,EBSCO,Regular Searches,NA,0,0,NA,NA
SA ePublications Service,EBSCO,Result Clicks,NA,0,0,NA,NA
SA ePublications Service,EBSCO,Searches-federated and automated,NA,80,71,NA,NA
ScholarVox,EBSCO,Record Views,NA,0,0,NA,NA
ScholarVox,EBSCO,Regular Searches,NA,0,0,NA,NA
ScholarVox,EBSCO,Result Clicks,NA,0,0,NA,NA
ScholarVox,EBSCO,Searches-federated and automated,NA,80,69,NA,NA
SciELO,EBSCO,Record Views,NA,0,0,NA,NA
SciELO,EBSCO,Regular Searches,NA,0,0,NA,NA
SciELO,EBSCO,Result Clicks,NA,0,0,NA,NA
SciELO,EBSCO,Searches-federated and automated,NA,80,71,NA,NA
ScienceDirect,EBSCO,Record Views,NA,1,1601,4245,1567
ScienceDirect,EBSCO,Regular Searches,NA,0,0,0,0
ScienceDirect,EBSCO,Result Clicks,NA,3,2875,7536,2924
ScienceDirect,EBSCO,Searches-federated and automated,NA,80,28599,53313,15709
SciTech Connect,EBSCO,Record Views,NA,0,1,0,0
SciTech Connect,EBSCO,Regular Searches,NA,0,0,0,0
SciTech Connect,EBSCO,Result Clicks,NA,0,1,2,0
SciTech Connect,EBSCO,Searches-federated and automated,NA,0,3564,6647,1236
Small Engine Repair Reference Center,EBSCO,Record Views,NA,0,0,NA,NA
Small Engine Repair Reference Center,EBSCO,Regular Searches,NA,0,2,NA,NA
Small Engine Repair Reference Center,EBSCO,Result Clicks,NA,0,0,NA,NA
Small Engine Repair Reference Center,EBSCO,Searches-federated and automated,NA,0,0,NA,NA
SocINDEX with Full Text,EBSCO,Record Views,NA,0,2408,3438,488
SocINDEX with Full Text,EBSCO,Regular Searches,NA,0,2448,3993,703
SocINDEX with Full Text,EBSCO,Result Clicks,NA,0,3624,5593,880
SocINDEX with Full Text,EBSCO,Searches-federated and automated,NA,0,24017,53798,15819
SOFIS - Sozialwissenschaftliche Forschungsinformationen,EBSCO,Record Views,NA,0,0,NA,NA
SOFIS - Sozialwissenschaftliche Forschungsinformationen,EBSCO,Regular Searches,NA,0,0,NA,NA
SOFIS - Sozialwissenschaftliche Forschungsinformationen,EBSCO,Result Clicks,NA,0,0,NA,NA
SOFIS - Sozialwissenschaftliche Forschungsinformationen,EBSCO,Searches-federated and automated,NA,80,69,NA,NA
SOLIS - Sozialwissenschaftliche Literatur,EBSCO,Record Views,NA,0,0,NA,NA
SOLIS - Sozialwissenschaftliche Literatur,EBSCO,Regular Searches,NA,0,0,NA,NA
SOLIS - Sozialwissenschaftliche Literatur,EBSCO,Result Clicks,NA,0,0,NA,NA
SOLIS - Sozialwissenschaftliche Literatur,EBSCO,Searches-federated and automated,NA,80,69,NA,NA
Spanish Patient Education,EBSCO,Record Views,NA,NA,NA,0,0
Spanish Patient Education,EBSCO,Regular Searches,NA,NA,NA,3,0
Spanish Patient Education,EBSCO,Result Clicks,NA,NA,NA,0,0
Spanish Patient Education,EBSCO,Searches-federated and automated,NA,NA,NA,0,0
SPORTDiscus with Full Text,EBSCO,Record Views,NA,NA,NA,23,0
SPORTDiscus with Full Text,EBSCO,Regular Searches,NA,NA,NA,729,0
SPORTDiscus with Full Text,EBSCO,Result Clicks,NA,NA,NA,34,0
SPORTDiscus with Full Text,EBSCO,Searches-federated and automated,NA,NA,NA,0,0
"Sports Medicine and Exercise Science in Video, Volume 1",Alexander Street Press,Record Views,0,17,15,17,NA
"Sports Medicine and Exercise Science in Video, Volume 1",Alexander Street Press,Regular Searches,0,154,70,53,NA
"Sports Medicine and Exercise Science in Video, Volume 1",Alexander Street Press,Result Clicks,0,16,10,4,NA
"Sports Medicine and Exercise Science in Video, Volume 1",Alexander Street Press,Searches-federated and automated,0,0,0,0,NA
SpringerMaterials,EBSCO,Record Views,NA,0,0,0,0
SpringerMaterials,EBSCO,Regular Searches,NA,0,0,0,0
SpringerMaterials,EBSCO,Result Clicks,NA,0,0,13,0
SpringerMaterials,EBSCO,Searches-federated and automated,NA,0,5153,6637,1235
SSOAR – Social Science Open Access Repository,EBSCO,Record Views,NA,0,0,NA,NA
SSOAR – Social Science Open Access Repository,EBSCO,Regular Searches,NA,0,0,NA,NA
SSOAR – Social Science Open Access Repository,EBSCO,Result Clicks,NA,0,0,NA,NA
SSOAR – Social Science Open Access Repository,EBSCO,Searches-federated and automated,NA,80,69,NA,NA
STAT!Ref,EBSCO,Record Views,NA,0,1,4,0
STAT!Ref,EBSCO,Regular Searches,NA,0,0,0,0
STAT!Ref,EBSCO,Result Clicks,NA,0,2,5,0
STAT!Ref,EBSCO,Searches-federated and automated,NA,80,5226,6628,1236
Supplemental Index,EBSCO,Record Views,NA,1,69,222,88
Supplemental Index,EBSCO,Regular Searches,NA,0,0,0,0
Supplemental Index,EBSCO,Result Clicks,NA,2,138,408,151
Supplemental Index,EBSCO,Searches-federated and automated,NA,80,28762,53472,15754
Swedish National Bibliography,EBSCO,Record Views,NA,0,0,NA,NA
Swedish National Bibliography,EBSCO,Regular Searches,NA,0,0,NA,NA
Swedish National Bibliography,EBSCO,Result Clicks,NA,0,0,NA,NA
Swedish National Bibliography,EBSCO,Searches-federated and automated,NA,80,71,NA,NA
SwePub,EBSCO,Record Views,NA,0,1,NA,NA
SwePub,EBSCO,Regular Searches,NA,0,0,NA,NA
SwePub,EBSCO,Result Clicks,NA,0,2,NA,NA
SwePub,EBSCO,Searches-federated and automated,NA,80,221,NA,NA
TDX,EBSCO,Record Views,NA,0,0,NA,NA
TDX,EBSCO,Regular Searches,NA,0,0,NA,NA
TDX,EBSCO,Result Clicks,NA,0,0,NA,NA
TDX,EBSCO,Searches-federated and automated,NA,80,69,NA,NA
Teacher Reference Center,EBSCO,Record Views,0,3,4,3,2
